Rock Unit,start depth[m],end depth [m]
,,
Ordovician,3300.0,3910.0
Kope,3910.0,4300.0
Utica,,
PointPleasant,4310.0,4490.0
TL,,
BlackRiver,4600.0,5110.0
GullRiver,5110.0,5200.0
WellsCreek,5200.0,5250.0
