Rock Unit,start depth[m],end depth [m]
,,
Ordovician,320.0,830.0
Kope,830.0,980.0
Utica,980.0,1200.0
PointPleasant,,
TL,1200.0,1400.0
BlackRiver,1400.0,1810.0
GullRiver,1810.0,1880.0
WellsCreek,,
