Rock Unit,start depth[m],end depth [m]
,,
Ordovician,9400.0,10350.0
Kope,10950.0,11790.0
Utica,11790.0,11950.0
PointPleasant,11950.0,12100.0
TL,12100.0,12350.0
BlackRiver,12350.0,12700.0
GullRiver,12700.0,12800.0
WellsCreek,12800.0,13050.0
