Rock Unit,start depth[m],end depth [m]
,,
Ordovician,3250.0,3790.0
Kope,3790.0,4170.0
Utica,,
PointPleasant,4170.0,4300.0
TL,,
BlackRiver,4470.0,4900.0
GullRiver,4900.0,4980.0
WellsCreek,4980.0,5000.0
