Rock Unit,start depth[m],end depth [m]
,,
Ordovician,,
Kope,1000.0,1250.0
Utica,1250.0,1350.0
PointPleasant,1350.0,1475.0
TL,1475.0,1500.0
BlackRiver,1590.0,1980.0
GullRiver,1980.0,2050.0
WellsCreek,2050.0,2100.0
