Rock Unit,start depth[m],end depth [m]
,,
Ordovician,2150.0,2700.0
Kope,2700.0,3000.0
Utica,3000.0,3100.0
PointPleasant,3100.0,3200.0
TL,3200.0,3250.0
BlackRiver,3350.0,3800.0
GullRiver,3800.0,3900.0
WellsCreek,,
