Rock Unit,start depth[m],end depth [m]
,,
Ordovician,4500.0,5100.0
Kope,5100.0,5550.0
Utica,,
PointPleasant,5550.0,5750.0
TL,5750.0,5800.0
BlackRiver,5910.0,6440.0
GullRiver,6440.0,6600.0
WellsCreek,6600.0,6680.0
