Rock Unit,start depth[m],end depth [m]
,,
Ordovician,7800.0,8800.0
Kope,8800.0,9400.0
Utica,,
PointPleasant,9400.0,9500.0
TL,,
BlackRiver,9750.0,10400.0
GullRiver,10400.0,10550.0
WellsCreek,10550.0,10700.0
