Rock Unit,start depth[m],end depth [m]
,,
Ordovician,5750.0,6180.0
Kope,6350.0,6900.0
PointPleasant,6900.0,7180.0
TL,7180.0,7280.0
BlackRiver,7450.0,8190.0
GullRiver,8190.0,8690.0
WellsCreek,8690.0,9300.0
