Rock Unit,start depth[m],end depth [m]
,,
Ordovician,11900.0,13000.0
Kope,14000.0,14750.0
Utica,14750.0,15300.0
PointPleasant,15300.0,15475.0
TL,15475.0,15800.0
BlackRiver,15800.0,16550.0
GullRiver,16550.0,17250.0
WellsCreek,17250.0,17770.0
