Rock Unit,start depth[m],end depth [m]
,,
Ordovician,1200.0,1600.0
Kope,1600.0,1700.0
Utica,1700.0,1900.0
PointPleasant,,
TL,1900.0,2200.0
BlackRiver,2200.0,2650.0
GullRiver,2650.0,2700.0
WellsCreek,,
