Rock Unit,start depth[m],end depth [m]
,,
Ordovician,3575.0,4750.0
Kope,4750.0,5100.0
Utica,5100.0,5300.0
PointPleasant,5300.0,5400.0
TL,5400.0,5500.0
BlackRiver,5500.0,5950.0
GullRiver,5950.0,6000.0
WellsCreek,6000.0,6010.0
