Rock Unit,start depth[m],end depth [m]
,,
Ordovician,5000.0,7090.0
Kope,7090.0,7450.0
Utica,7450.0,7680.0
PointPleasant,7680.0,7700.0
TL,,
BlackRiver,7930.0,8500.0
GullRiver,8500.0,8600.0
WellsCreek,8600.0,8700.0
