Rock Unit,start depth[m],end depth [m]
,,
Ordovician,1900.0,2600.0
Kope,2600.0,2870.0
Utica,2870.0,3000.0
PointPleasant,3010.0,3190.0
TL,,
BlackRiver,3300.0,3770.0
GullRiver,3770.0,3830.0
WellsCreek,3830.0,3850.0
