Rock Unit,start depth[m],end depth [m]
,,
Ordovician,310.0,640.0
Kope,640.0,790.0
PointPleasant,790.0,900.0
TL,900.0,1110.0
BlackRiver,1100.0,1550.0
GullRiver,1550.0,1850.0
WellsCreek,1850.0,1900.0
