Rock Unit,start depth[m],end depth [m]
,,
Ordovician,2400.0,2750.0
Kope,,
Utica,2750.0,3050.0
PointPleasant,,
TL,3050.0,3250.0
BlackRiver,3250.0,3580.0
GullRiver,,
WellsCreek,,
