Rock Unit,start depth[m],end depth [m]
,,
Ordovician,50.0,250.0
Kope,,
Utica,250.0,500.0
PointPleasant,500.0,600.0
TL,600.0,750.0
BlackRiver,800.0,1175.0
GullRiver,1175.0,1250.0
WellsCreek,,
