Rock Unit,start depth[m],end depth [m]
,,
Ordovician,7000.0,7950.0
Kope,7950.0,8570.0
Utica,,
PointPleasant,8570.0,8700.0
TL,8700.0,8800.0
BlackRiver,9000.0,9700.0
GullRiver,9700.0,10110.0
WellsCreek,10110.0,10500.0
