Rock Unit,start depth[m],end depth [m]
,,
Ordovician,1690.0,2240.0
Kope,2240.0,2500.0
Utica,2500.0,2600.0
PointPleasant,2600.0,2700.0
TL,2700.0,2770.0
BlackRiver,2900.0,3100.0
GullRiver,,
WellsCreek,,
