Rock Unit,start depth[m],end depth [m]
,,
Ordovician,3600.0,4600.0
Kope,5950.0,6950.0
Utica,6950.0,7550.0
PointPleasant,7550.0,7650.0
TL,7650.0,8050.0
BlackRiver,8050.0,8600.0
GullRiver,8600.0,8700.0
WellsCreek,8700.0,8800.0
