Rock Unit,start depth[m],end depth [m]
,,
Ordovician,6200.0,7100.0
Kope,7100.0,7500.0
Utica,7500.0,7700.0
PointPleasant,7700.0,7800.0
TL,,
BlackRiver,8000.0,8600.0
GullRiver,8600.0,8750.0
WellsCreek,8750.0,8800.0
