Rock Unit,start depth[m],end depth [m]
,,
Ordovician,2400.0,3050.0
Kope,3050.0,3425.0
PointPleasant,3425.0,3610.0
TL,,
BlackRiver,3750.0,4200.0
GullRiver,4200.0,4280.0
WellsCreek,4280.0,4300.0
