Rock Unit,start depth[m],end depth [m]
,,
Ordovician,450.0,850.0
Kope,850.0,1175.0
PointPleasant,1175.0,1250.0
TL,1250.0,1400.0
BlackRiver,1500.0,1880.0
GullRiver,1880.0,2000.0
WellsCreek,2000.0,2100.0
