Rock Unit,start depth[m],end depth [m]
,,
Ordovician,400.0,800.0
Kope,800.0,930.0
Utica,930.0,1190.0
TL,1190.0,1400.0
BlackRiver,1400.0,1700.0
GullRiver,1700.0,1750.0
WellsCreek,1750.0,1800.0
