Rock Unit,start depth[m],end depth [m]
,,
Ordovician,400.0,800.0
Kope,800.0,950.0
Utica,950.0,1100.0
PointPleasant,1100.0,1300.0
TL,1300.0,1350.0
BlackRiver,1350.0,1790.0
GullRiver,1790.0,1860.0
WellsCreek,1860.0,1880.0
