Rock Unit,start depth[m],end depth [m]
,,
Ordovician,4800.0,5700.0
Kope,5700.0,6120.0
Utica,6120.0,6300.0
PointPleasant,6300.0,6350.0
TL,6350.0,6400.0
BlackRiver,6550.0,7150.0
GullRiver,7150.0,7200.0
WellsCreek,7200.0,7300.0
